timestamp,temperature,humidity,wind_speed,precipitation
2025-01-01T00:00:00.000000,1.5,57.66,0.29,0.0
2025-01-01T00:01:00.000000,5.15,56.22,13.3,0.0
2025-01-01T00:02:00.000000,7.19,59.97,1.74,0.0
2025-01-01T00:03:00.000000,4.43,57.82,0.03,0.0
2025-01-01T00:04:00.000000,2.39,59.66,2.69,0.407
2025-01-01T00:05:00.000000,6.16,60.13,10.35,0.0
2025-01-01T00:06:00.000000,3.39,56.66,1.24,0.0
2025-01-01T00:07:00.000000,8.45,54.01,0.56,0.0
2025-01-01T00:08:00.000000,-0.3,58.52,1.83,0.0
2025-01-01T00:09:00.000000,6.65,51.84,0.41,0.0
2025-01-01T00:10:00.000000,2.21,58.24,14.59,0.0
2025-01-01T00:11:00.000000,1.68,53.1,2.75,0.0
2025-01-01T00:12:00.000000,6.2,61.4,0.52,0.0
2025-01-01T00:13:00.000000,5.8,66.72,0.93,0.0
2025-01-01T00:14:00.000000,3.61,62.13,0.58,0.0
2025-01-01T00:15:00.000000,4.45,58.69,5.83,0.0
2025-01-01T00:16:00.000000,2.84,69.77,2.06,0.0
2025-01-01T00:17:00.000000,2.71,59.57,10.42,0.0
2025-01-01T00:18:00.000000,4.98,62.16,4.32,1.751
2025-01-01T00:19:00.000000,6.24,64.53,4.08,0.0
2025-01-01T00:20:00.000000,6.3,62.29,0.65,0.0
2025-01-01T00:21:00.000000,1.5,63.22,12.08,0.0
2025-01-01T00:22:00.000000,8.02,55.89,2.03,0.0
2025-01-01T00:23:00.000000,5.07,59.17,3.44,0.0
2025-01-01T00:24:00.000000,5.58,63.3,2.93,0.0
2025-01-01T00:25:00.000000,6.92,53.11,6.99,0.0
2025-01-01T00:26:00.000000,4.01,64.28,14.97,0.0
2025-01-01T00:27:00.000000,7.22,62.03,22.17,0.0
2025-01-01T00:28:00.000000,2.57,61.8,0.76,0.0
2025-01-01T00:29:00.000000,2.83,64.74,2.22,0.0
2025-01-01T00:30:00.000000,2.44,65.3,3.4,0.0
2025-01-01T00:31:00.000000,7.22,65.49,1.45,0.0
2025-01-01T00:32:00.000000,5.18,67.81,0.41,0.0
2025-01-01T00:33:00.000000,4.19,67.58,1.92,0.0
2025-01-01T00:34:00.000000,5.06,60.44,0.02,0.0
2025-01-01T00:35:00.000000,3.77,60.36,13.82,0.0
2025-01-01T00:36:00.000000,7.84,69.84,2.43,0.0
2025-01-01T00:37:00.000000,4.73,67.61,11.71,0.0
2025-01-01T00:38:00.000000,-0.15,65.3,5.02,0.0
2025-01-01T00:39:00.000000,4.92,63.55,3.06,0.0
2025-01-01T00:40:00.000000,6.51,51.55,2.01,0.0
2025-01-01T00:41:00.000000,5.49,64.64,2.38,0.0
2025-01-01T00:42:00.000000,4.64,63.92,4.9,0.0
2025-01-01T00:43:00.000000,6.36,76.65,11.69,0.0
2025-01-01T00:44:00.000000,8.07,60.02,4.29,0.0
2025-01-01T00:45:00.000000,4.14,54.52,3.07,0.0
2025-01-01T00:46:00.000000,6.15,65.62,7.07,0.0
2025-01-01T00:47:00.000000,4.71,63.27,5.19,0.0
2025-01-01T00:48:00.000000,5.46,63.03,1.02,0.0
2025-01-01T00:49:00.000000,6.47,67.32,0.73,0.0
2025-01-01T00:50:00.000000,7.52,67.14,2.36,0.0
2025-01-01T00:51:00.000000,5.82,59.29,9.31,0.0
2025-01-01T00:52:00.000000,3.05,65.95,2.94,0.0
2025-01-01T00:53:00.000000,1.09,72.51,5.13,0.0
2025-01-01T00:54:00.000000,5.34,70.56,3.14,0.0
2025-01-01T00:55:00.000000,8.54,59.42,6.11,0.0
2025-01-01T00:56:00.000000,5.82,61.42,13.43,0.0
2025-01-01T00:57:00.000000,6.29,76.26,2.78,0.0
2025-01-01T00:58:00.000000,3.93,66.33,4.22,0.0
2025-01-01T00:59:00.000000,7.24,67.09,0.08,0.0
2025-01-01T01:00:00.000000,6.24,64.82,2.94,0.0
2025-01-01T01:01:00.000000,3.65,59.07,5.07,0.0
2025-01-01T01:02:00.000000,6.23,53.9,1.61,0.0
2025-01-01T01:03:00.000000,4.02,71.54,2.44,0.0
2025-01-01T01:04:00.000000,5.98,66.42,3.56,0.0
2025-01-01T01:05:00.000000,8.38,57.35,12.61,0.29
2025-01-01T01:06:00.000000,7.71,71.04,0.87,0.0
2025-01-01T01:07:00.000000,3.14,64.58,0.01,0.0
2025-01-01T01:08:00.000000,6.38,58.11,0.6,0.0
2025-01-01T01:09:00.000000,4.72,62.01,24.23,0.0
2025-01-01T01:10:00.000000,1.3,65.25,8.45,0.0
2025-01-01T01:11:00.000000,5.03,57.82,13.44,0.0
2025-01-01T01:12:00.000000,6.97,64.81,2.93,0.0
2025-01-01T01:13:00.000000,3.24,72.23,1.08,0.0
2025-01-01T01:14:00.000000,6.94,56.34,11.06,1.218
2025-01-01T01:15:00.000000,7.87,61.17,1.12,0.0
2025-01-01T01:16:00.000000,6.32,62.87,1.24,0.0
2025-01-01T01:17:00.000000,4.19,59.68,0.42,0.0
2025-01-01T01:18:00.000000,7.56,66.69,2.34,0.0
2025-01-01T01:19:00.000000,8.68,66.17,1.74,0.0
2025-01-01T01:20:00.000000,4.72,76.48,11.08,0.0
2025-01-01T01:21:00.000000,4.31,68.92,4.98,0.0
2025-01-01T01:22:00.000000,4.03,63.47,5.79,0.0
2025-01-01T01:23:00.000000,4.61,71.56,0.27,0.0
2025-01-01T01:24:00.000000,2.22,58.84,5.33,0.0
2025-01-01T01:25:00.000000,6.13,56.71,3.82,0.0
2025-01-01T01:26:00.000000,7.21,68.4,3.56,0.0
2025-01-01T01:27:00.000000,8.44,67.42,2.8,0.0
2025-01-01T01:28:00.000000,4.06,70.44,3.84,0.0
2025-01-01T01:29:00.000000,7.05,58.41,0.02,0.0
2025-01-01T01:30:00.000000,5.91,68.46,2.12,0.0
