timestamp,revenue,cost,profit,assets,liabilities
2025-01-01T00:00:00.000000,1036742.78,685303.76,351439.02,5358261.34,2854816.04
2025-01-02T00:00:00.000000,1036742.78,575288.6,461454.18,5823661.53,2944843.2
2025-01-03T00:00:00.000000,1036742.78,574706.7,462036.08,6279576.01,3728577.85
2025-01-04T00:00:00.000000,1036742.78,686729.43,350013.35,6616664.88,3920944.94
2025-01-05T00:00:00.000000,1036742.78,684628.92,352113.86,6962561.6,2207159.55
2025-01-06T00:00:00.000000,1036742.78,588984.65,447758.13,7422168.97,2466724.73
2025-01-07T00:00:00.000000,1036742.78,594368.32,442374.46,7856826.62,2728010.59
2025-01-08T00:00:00.000000,1036742.78,589724.72,447018.06,8312682.32,4557421.02
2025-01-09T00:00:00.000000,1036742.78,720978.26,315764.52,8646956.87,4493236.44
2025-01-10T00:00:00.000000,1036742.78,626150.31,410592.48,9036218.05,3443871.35
2025-01-11T00:00:00.000000,1036742.78,701101.09,335641.69,9361044.63,3813254.08
2025-01-12T00:00:00.000000,1036742.78,670414.24,366328.55,9720165.44,4607568.68
2025-01-13T00:00:00.000000,1036742.78,711827.4,324915.39,10056859.62,5606997.29
2025-01-14T00:00:00.000000,1036742.78,609909.17,426833.62,10475953.3,4861735.88
2025-01-15T00:00:00.000000,1036742.78,592725.53,444017.25,10925384.15,3688354.02
2025-01-16T00:00:00.000000,1036742.78,619437.86,417304.92,11353881.9,5031732.3
2025-01-17T00:00:00.000000,1036742.78,665767.51,370975.27,11738908.51,5367120.74
2025-01-18T00:00:00.000000,1036742.78,660241.85,376500.93,12088126.41,4044886.02
2025-01-19T00:00:00.000000,1036742.78,653875.87,382866.91,12469870.97,6125382.5
2025-01-20T00:00:00.000000,1036742.78,638478.92,398263.86,12888189.41,6730654.56
2025-01-21T00:00:00.000000,1036742.78,604058.65,432684.13,13334167.87,5179299.96
2025-01-22T00:00:00.000000,1036742.78,655092.82,381649.97,13698731.24,7090710.46
2025-01-23T00:00:00.000000,1036742.78,664211.48,372531.3,14078176.22,7191074.69
2025-01-24T00:00:00.000000,1036742.78,710646.45,326096.33,14397104.43,7364302.06
2025-01-25T00:00:00.000000,1036742.78,580561.2,456181.58,14866628.07,6646042.83
2025-01-26T00:00:00.000000,1036742.78,646713.5,390029.28,15250360.46,7989570.99
2025-01-27T00:00:00.000000,1036742.78,622128.46,414614.32,15646144.57,7289960.38
2025-01-28T00:00:00.000000,1036742.78,603591.14,433151.64,16085053.84,5793468.29
2025-01-29T00:00:00.000000,1036742.78,673017.16,363725.62,16462403.95,6835260.56
2025-01-30T00:00:00.000000,1036742.78,683652.53,353090.25,16808403.32,6678927.21
2025-01-31T00:00:00.000000,1036742.78,628573.79,408168.99,17220420.15,6878158.79
2025-02-01T00:00:00.000000,1036742.78,648617.64,388125.14,17622663.62,6903743.73
2025-02-02T00:00:00.000000,1036742.78,587067.04,449675.74,18051844.07,9557471.08
