timestamp,temperature,pressure,humidity,vibration
2025-01-01T00:00:00.000000,39.01,1015.22,48.04,0.3324
2025-01-01T00:00:10.000000,40.74,1016.19,51.4,0.485
2025-01-01T00:00:20.000000,39.72,1012.38,52.48,0.6125
2025-01-01T00:00:30.000000,40.51,1010.28,51.29,0.2717
2025-01-01T00:00:40.000000,40.15,1011.41,52.46,0.4764
2025-01-01T00:00:50.000000,39.85,1015.59,45.13,0.7245
2025-01-01T00:01:00.000000,40.48,1012.54,46.39,0.5324
2025-01-01T00:01:10.000000,40.47,1011.73,48.52,0.4539
2025-01-01T00:01:20.000000,40.86,1014.96,49.29,0.4599
2025-01-01T00:01:30.000000,39.68,1010.71,46.36,0.6154
2025-01-01T00:01:40.000000,39.92,1016.2,52.23,0.3627
2025-01-01T00:01:50.000000,40.68,1012.6,51.25,0.4722
2025-01-01T00:02:00.000000,40.9,1016.61,51.4,0.2797
2025-01-01T00:02:10.000000,40.31,1015.83,51.64,0.6303
2025-01-01T00:02:20.000000,41.1,1012.75,52.43,0.4294
2025-01-01T00:02:30.000000,40.25,1011.91,51.31,0.624
2025-01-01T00:02:40.000000,40.43,1015.01,51.45,0.413
2025-01-01T00:02:50.000000,40.24,1011.14,51.84,0.3856
2025-01-01T00:03:00.000000,40.79,1011.92,57.48,0.8712
2025-01-01T00:03:10.000000,40.92,1012.95,49.17,0.6907
2025-01-01T00:03:20.000000,40.63,1015.97,52.69,0.3889
2025-01-01T00:03:30.000000,41.77,1012.19,44.6,0.4139
2025-01-01T00:03:40.000000,40.77,1015.51,50.64,0.5192
2025-01-01T00:03:50.000000,40.71,1010.93,52.97,0.3452
2025-01-01T00:04:00.000000,41.62,1012.92,48.82,0.5856
2025-01-01T00:04:10.000000,41.11,1011.48,50.31,0.6325
2025-01-01T00:04:20.000000,41.32,1015.92,53.07,0.2272
2025-01-01T00:04:30.000000,40.96,1009.56,50.17,0.559
2025-01-01T00:04:40.000000,40.85,1009.8,48.85,0.6457
2025-01-01T00:04:50.000000,40.64,1012.6,53.53,0.8488
2025-01-01T00:05:00.000000,40.7,1013.22,51.34,0.3519
2025-01-01T00:05:10.000000,41.56,1012.69,49.7,0.462
2025-01-01T00:05:20.000000,40.82,1013.51,57.58,0.354
2025-01-01T00:05:30.000000,41.63,1011.7,51.46,0.3198
2025-01-01T00:05:40.000000,40.49,1013.75,51.02,0.6973
2025-01-01T00:05:50.000000,42.62,1014.49,49.11,0.65
2025-01-01T00:06:00.000000,41.83,1013.06,49.26,0.4928
2025-01-01T00:06:10.000000,42.08,1012.41,45.63,0.4544
2025-01-01T00:06:20.000000,41.71,1012.73,51.17,0.7806
2025-01-01T00:06:30.000000,41.84,1011.09,53.37,0.603
2025-01-01T00:06:40.000000,41.8,1013.77,48.18,0.5584
2025-01-01T00:06:50.000000,42.02,1011.35,52.74,0.1882
2025-01-01T00:07:00.000000,41.03,1014.0,53.26,0.732
2025-01-01T00:07:10.000000,41.6,1014.79,53.9,0.5957
2025-01-01T00:07:20.000000,43.36,1011.56,50.75,0.2276
2025-01-01T00:07:30.000000,41.93,1012.87,45.1,0.9885
2025-01-01T00:07:40.000000,41.99,1013.89,54.8,0.8527
2025-01-01T00:07:50.000000,42.62,1011.65,54.28,0.7731
2025-01-01T00:08:00.000000,42.03,1012.62,51.85,0.8521
2025-01-01T00:08:10.000000,42.37,1011.93,53.12,0.4513
2025-01-01T00:08:20.000000,42.1,1012.57,52.23,0.8248
2025-01-01T00:08:30.000000,42.56,1009.62,52.24,0.4045
2025-01-01T00:08:40.000000,42.52,1011.93,54.28,0.6313
2025-01-01T00:08:50.000000,42.16,1012.51,52.63,0.5543
2025-01-01T00:09:00.000000,42.8,1018.27,46.69,0.5006
2025-01-01T00:09:10.000000,42.59,1011.0,45.86,0.5531
2025-01-01T00:09:20.000000,42.27,1013.92,53.26,0.6143
2025-01-01T00:09:30.000000,42.09,1012.56,49.54,0.1038
2025-01-01T00:09:40.000000,41.72,1011.78,57.13,0.6958
2025-01-01T00:09:50.000000,42.66,1012.72,56.57,0.9484
2025-01-01T00:10:00.000000,42.33,1014.84,49.17,0.4389
2025-01-01T00:10:10.000000,41.58,1012.34,54.28,0.3386
2025-01-01T00:10:20.000000,43.21,1013.13,51.93,0.67
2025-01-01T00:10:30.000000,42.65,1011.42,52.67,0.4688
2025-01-01T00:10:40.000000,41.92,1012.66,56.16,0.4699
2025-01-01T00:10:50.000000,42.31,1010.74,54.54,1.0652
2025-01-01T00:11:00.000000,42.45,1013.68,50.31,0.3307
2025-01-01T00:11:10.000000,43.52,1009.71,56.71,0.5547
2025-01-01T00:11:20.000000,43.09,1011.73,54.23,0.6187
2025-01-01T00:11:30.000000,43.46,1013.37,50.03,0.4403
2025-01-01T00:11:40.000000,42.72,1009.26,55.5,0.598
2025-01-01T00:11:50.000000,43.44,1012.47,48.99,0.449
2025-01-01T00:12:00.000000,42.65,1014.43,51.89,0.9888
2025-01-01T00:12:10.000000,43.35,1012.17,57.15,0.5846
2025-01-01T00:12:20.000000,42.28,1012.13,55.4,0.4489
2025-01-01T00:12:30.000000,43.12,1010.28,57.42,0.6174
2025-01-01T00:12:40.000000,43.28,1014.05,50.19,0.3429
2025-01-01T00:12:50.000000,43.28,1008.78,52.66,0.502
2025-01-01T00:13:00.000000,43.12,1015.15,59.82,0.7221
2025-01-01T00:13:10.000000,43.44,1015.03,53.74,0.5201
2025-01-01T00:13:20.000000,43.21,1014.58,51.9,0.4763
2025-01-01T00:13:30.000000,41.53,1012.13,54.12,0.6406
2025-01-01T00:13:40.000000,43.59,1013.77,55.63,0.5048
2025-01-01T00:13:50.000000,43.59,1010.77,50.75,0.3377
2025-01-01T00:14:00.000000,43.36,1011.67,55.12,0.4787
2025-01-01T00:14:10.000000,43.46,1009.21,53.86,0.6575
2025-01-01T00:14:20.000000,43.48,1015.75,54.2,0.5927
2025-01-01T00:14:30.000000,44.03,1012.12,55.82,0.5964
2025-01-01T00:14:40.000000,42.99,1013.2,53.95,0.1306
2025-01-01T00:14:50.000000,43.26,1011.72,59.58,0.8823
2025-01-01T00:15:00.000000,43.45,1013.46,56.08,0.7296
2025-01-01T00:15:10.000000,44.34,1014.47,57.77,0.7374
2025-01-01T00:15:20.000000,43.81,1011.57,53.06,0.8813
2025-01-01T00:15:30.000000,42.43,1013.29,59.35,0.3686
2025-01-01T00:15:40.000000,43.6,1011.46,50.56,0.4977
2025-01-01T00:15:50.000000,42.94,1013.12,52.13,1.0192
2025-01-01T00:16:00.000000,44.05,1009.96,53.46,0.6878
2025-01-01T00:16:10.000000,43.31,1012.21,60.27,0.475
2025-01-01T00:16:20.000000,43.82,1013.43,52.91,0.839
2025-01-01T00:16:30.000000,44.25,1011.93,54.72,0.591
2025-01-01T00:16:40.000000,42.99,1015.97,52.61,0.7106
2025-01-01T00:16:50.000000,43.38,1011.31,56.81,0.7314
2025-01-01T00:17:00.000000,44.37,1009.61,54.39,0.9611
2025-01-01T00:17:10.000000,43.94,1014.22,55.78,0.6537
2025-01-01T00:17:20.000000,43.98,1017.81,53.77,0.7934
2025-01-01T00:17:30.000000,44.46,1012.75,58.08,0.8753
2025-01-01T00:17:40.000000,43.75,1013.51,56.3,0.5058
2025-01-01T00:17:50.000000,44.81,1013.52,53.08,0.742
2025-01-01T00:18:00.000000,43.77,1013.23,52.05,0.7751
2025-01-01T00:18:10.000000,44.08,1011.71,56.77,0.6924
2025-01-01T00:18:20.000000,43.78,1014.24,54.36,0.5536
2025-01-01T00:18:30.000000,43.94,1009.59,50.37,0.1373
2025-01-01T00:18:40.000000,44.6,1013.42,56.49,0.7205
2025-01-01T00:18:50.000000,44.36,1015.36,54.75,0.8276
2025-01-01T00:19:00.000000,43.79,1013.57,52.68,0.5821
2025-01-01T00:19:10.000000,43.67,1013.36,56.72,0.7115
2025-01-01T00:19:20.000000,43.79,1016.96,50.98,0.7073
2025-01-01T00:19:30.000000,44.34,1015.27,55.53,0.6325
2025-01-01T00:19:40.000000,44.41,1013.54,57.97,0.9113
2025-01-01T00:19:50.000000,43.33,1010.22,57.21,0.3221
2025-01-01T00:20:00.000000,44.37,1009.31,54.6,0.5555
2025-01-01T00:20:10.000000,44.58,1014.08,54.72,1.2184
2025-01-01T00:20:20.000000,44.3,1013.42,58.99,0.6044
2025-01-01T00:20:30.000000,45.06,1011.91,51.66,0.3242
2025-01-01T00:20:40.000000,43.77,1012.88,49.83,0.8597
2025-01-01T00:20:50.000000,45.08,1015.15,56.59,0.5749
2025-01-01T00:21:00.000000,44.62,1010.27,56.47,0.3919
2025-01-01T00:21:10.000000,45.03,1011.74,51.23,0.6783
2025-01-01T00:21:20.000000,44.38,1013.54,60.08,0.5859
2025-01-01T00:21:30.000000,43.75,1015.28,52.96,0.1308
2025-01-01T00:21:40.000000,44.73,1013.9,60.01,0.5275
2025-01-01T00:21:50.000000,44.97,1012.63,54.39,0.33
2025-01-01T00:22:00.000000,44.59,1013.11,63.84,0.144
2025-01-01T00:22:10.000000,44.7,1012.3,52.53,0.2665
2025-01-01T00:22:20.000000,44.38,1012.07,53.41,0.4904
2025-01-01T00:22:30.000000,44.31,1016.22,58.04,0.7299
2025-01-01T00:22:40.000000,43.85,1011.66,50.15,0.5645
2025-01-01T00:22:50.000000,45.34,1013.69,56.13,0.3287
2025-01-01T00:23:00.000000,44.05,1016.91,54.03,0.3076
2025-01-01T00:23:10.000000,45.37,1013.26,59.83,0.5842
2025-01-01T00:23:20.000000,43.91,1012.25,57.59,0.2124
2025-01-01T00:23:30.000000,45.24,1016.22,54.22,0.4782
2025-01-01T00:23:40.000000,44.44,1013.44,57.67,0.4984
