timestamp,oil_litres,grain_tonnes,container_count
2025-01-01T00:00:00.000000,847578.0,2541.5,49.0
2025-01-01T01:00:00.000000,439036.0,3843.4,50.0
2025-01-01T02:00:00.000000,290833.0,2887.5,56.0
2025-01-01T03:00:00.000000,283538.0,1665.1,58.0
2025-01-01T04:00:00.000000,735855.0,2060.5,60.0
2025-01-01T05:00:00.000000,644907.0,2355.9,49.0
2025-01-01T06:00:00.000000,402209.0,1533.6,51.0
2025-01-01T07:00:00.000000,374660.0,2995.9,58.0
2025-01-01T08:00:00.000000,486731.0,2195.0,49.0
2025-01-01T09:00:00.000000,505449.0,4953.6,51.0
2025-01-01T10:00:00.000000,420928.0,1278.3,47.0
2025-01-01T11:00:00.000000,442243.0,1542.3,50.0
2025-01-01T12:00:00.000000,353981.0,2769.5,45.0
2025-01-01T13:00:00.000000,647251.0,2644.6,63.0
2025-01-01T14:00:00.000000,875720.0,3774.4,51.0
2025-01-01T15:00:00.000000,898544.0,1816.4,51.0
2025-01-01T16:00:00.000000,694964.0,1528.2,42.0
2025-01-01T17:00:00.000000,401345.0,2317.3,44.0
2025-01-01T18:00:00.000000,286359.0,1361.5,43.0
2025-01-01T19:00:00.000000,457813.0,5060.1,64.0
2025-01-01T20:00:00.000000,654749.0,2396.5,59.0
2025-01-01T21:00:00.000000,759573.0,1770.1,52.0
2025-01-01T22:00:00.000000,496552.0,1325.8,49.0
2025-01-01T23:00:00.000000,527330.0,2762.5,38.0
2025-01-02T00:00:00.000000,330418.0,7553.1,61.0
2025-01-02T01:00:00.000000,543467.0,1186.5,43.0
2025-01-02T02:00:00.000000,419715.0,1413.0,51.0
2025-01-02T03:00:00.000000,391839.0,2410.3,47.0
2025-01-02T04:00:00.000000,674374.0,2542.8,54.0
2025-01-02T05:00:00.000000,841741.0,3362.2,50.0
2025-01-02T06:00:00.000000,542985.0,2981.6,42.0
2025-01-02T07:00:00.000000,351742.0,1214.3,63.0
2025-01-02T08:00:00.000000,347816.0,2433.4,59.0
2025-01-02T09:00:00.000000,690324.0,2279.6,53.0
2025-01-02T10:00:00.000000,480360.0,2607.6,53.0
2025-01-02T11:00:00.000000,416002.0,2677.3,44.0
2025-01-02T12:00:00.000000,454828.0,2544.3,49.0
2025-01-02T13:00:00.000000,658905.0,2213.2,53.0
2025-01-02T14:00:00.000000,563394.0,2406.3,48.0
2025-01-02T15:00:00.000000,677893.0,2548.8,49.0
2025-01-02T16:00:00.000000,365095.0,1327.5,53.0
2025-01-02T17:00:00.000000,588119.0,2177.6,47.0
2025-01-02T18:00:00.000000,547965.0,3310.3,63.0
2025-01-02T19:00:00.000000,256737.0,2843.1,58.0
2025-01-02T20:00:00.000000,280519.0,1359.4,50.0
2025-01-02T21:00:00.000000,655184.0,2024.7,46.0
2025-01-02T22:00:00.000000,535934.0,1846.1,54.0
2025-01-02T23:00:00.000000,750541.0,2334.5,44.0
